workload,model_size,batch,H,W,precision,num_inputs,num_outputs,total_input_bytes,total_output_bytes,weight_bytes,param_count,op_Add,op_Concat,op_Constant,op_Conv,op_GlobalAveragePool,op_Mul,op_Reshape,op_Sigmoid,op_Split,Avg_cpu_mem_MB,Max_cpu_mem_MB
det,s,1,640,640,fp16,1,1,2457600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,402.0,729.0
det,s,1,640,640,fp32,1,1,4915200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,413.0,716.0
det,s,1,640,640,int8,1,1,1228800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,407.0,710.0
det,s,2,320,320,fp16,1,1,1228800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,375.0,726.0
det,s,2,320,320,fp32,1,1,2457600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,334.0,703.0
det,s,2,320,320,int8,1,1,614400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,329.0,700.0
det,s,2,480,480,fp16,1,1,2764800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,376.0,739.0
det,s,2,480,480,fp32,1,1,5529600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,360.0,723.0
det,s,2,480,480,int8,1,1,1382400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,354.0,706.0
det,s,2,640,640,fp16,1,1,4915200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,400.0,808.0
det,s,2,640,640,fp32,1,1,9830400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,423.0,814.0
det,s,2,640,640,int8,1,1,2457600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,395.0,794.0
det,s,4,320,320,fp16,1,1,2457600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,325.0,708.0
det,s,4,320,320,fp32,1,1,4915200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,360.0,801.0
det,s,4,320,320,int8,1,1,1228800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,329.0,709.0
det,s,4,480,480,fp16,1,1,5529600,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,383.0,739.0
det,s,4,480,480,fp32,1,1,11059200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,369.0,793.0
det,s,4,480,480,int8,1,1,2764800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,389.0,815.0
det,s,4,640,640,fp16,1,1,9830400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,363.0,800.0
det,s,4,640,640,fp32,1,1,19660800,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,383.0,816.0
det,s,4,640,640,int8,1,1,4915200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,362.0,801.0
det,s,8,320,320,fp16,1,1,4915200,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,366.0,814.0
det,s,8,320,320,fp32,1,1,9830400,5644800,44626176,11156544,9,19,22,64,0,60,5,58,9,354.0,711.0
